Temperature (C): 24.83		Pressure (Pa): 101011.69
Temperature (C): 24.86		Pressure (Pa): 101014.41
Temperature (C): 24.86		Pressure (Pa): 101013.77
Temperature (C): 24.90		Pressure (Pa): 101012.28
Temperature (C): 24.91		Pressure (Pa): 101012.95
Temperature (C): 24.91		Pressure (Pa): 101013.22
Temperature (C): 24.95		Pressure (Pa): 101013.98
Temperature (C): 24.94		Pressure (Pa): 101014.27
Temperature (C): 24.96		Pressure (Pa): 101014.22
Temperature (C): 24.97		Pressure (Pa): 101014.02
Temperature (C): 24.98		Pressure (Pa): 101013.53
Temperature (C): 25.00		Pressure (Pa): 101013.36
Temperature (C): 25.02		Pressure (Pa): 101013.69
Temperature (C): 25.10		Pressure (Pa): 101014.09
Temperature (C): 25.07		Pressure (Pa): 101014.84
Temperature (C): 25.13		Pressure (Pa): 101013.89
Temperature (C): 25.12		Pressure (Pa): 101014.53
Temperature (C): 25.15		Pressure (Pa): 101014.94
Temperature (C): 25.15		Pressure (Pa): 101014.67
Temperature (C): 25.17		Pressure (Pa): 101013.63
Temperature (C): 25.19		Pressure (Pa): 101013.80
Temperature (C): 25.17		Pressure (Pa): 101014.31
Temperature (C): 25.18		Pressure (Pa): 101012.48
Temperature (C): 25.18		Pressure (Pa): 101010.73
Temperature (C): 25.21		Pressure (Pa): 101015.05
Temperature (C): 25.19		Pressure (Pa): 101013.69
Temperature (C): 25.23		Pressure (Pa): 101012.97
Temperature (C): 25.25		Pressure (Pa): 101012.19
Temperature (C): 25.29		Pressure (Pa): 101014.61
Temperature (C): 25.29		Pressure (Pa): 101013.72
Temperature (C): 25.29		Pressure (Pa): 101012.84
Temperature (C): 25.30		Pressure (Pa): 101013.27
Temperature (C): 25.31		Pressure (Pa): 101012.72
Temperature (C): 25.33		Pressure (Pa): 101013.11
Temperature (C): 25.33		Pressure (Pa): 101013.88
Temperature (C): 25.36		Pressure (Pa): 101013.00
Temperature (C): 25.34		Pressure (Pa): 101006.66
Temperature (C): 25.36		Pressure (Pa): 100996.89
Temperature (C): 25.40		Pressure (Pa): 100987.97
Temperature (C): 25.42		Pressure (Pa): 100980.44
Temperature (C): 25.44		Pressure (Pa): 100974.38
Temperature (C): 25.45		Pressure (Pa): 100973.44
Temperature (C): 25.48		Pressure (Pa): 100972.66
Temperature (C): 25.49		Pressure (Pa): 100973.17
Temperature (C): 25.51		Pressure (Pa): 100973.80
Temperature (C): 25.52		Pressure (Pa): 100972.56
Temperature (C): 25.52		Pressure (Pa): 100972.61
Temperature (C): 25.56		Pressure (Pa): 100972.31
Temperature (C): 25.58		Pressure (Pa): 100972.33
Temperature (C): 25.58		Pressure (Pa): 100971.55
